#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
43,"Warned You","Good Morning",0,138,"lo-fi indie, bedroom pop","Pop, Electronic, Rock","Shawcross",2014-11-14,02:13,51,43,66,15,41,0,10,-5,F#/G♭,4,2020-10-02,0OMEnGAKSH3BLNeCJWCZjX,"Solitaire",2B,UST8K1403966
44,"Feels Like We Only Go Backwards","Tame Impala",77,150,"neo-psychedelic, indie","Pop, Rock","Lonerism",2012-01-01,03:12,30,90,3,64,49,0,10,-2,D minor,4,2020-10-06,0LtOwyZoSNZKJWHqjzADpW,"Modular",7A,AUUM71200493
45,"Space Song","Beach House",0,147,"dream pop","Pop, Rock","Depression Cherry",2015-08-28,05:20,51,79,23,13,59,0,10,-7,C minor,4,2020-10-11,0hNhlwnzMLzZSlKGDCuHOo,"Sub Pop Records",5A,USSUB1512203
46,"Lucid Dream","Glue Trip",32,98,"","","Glue Trip",2015-02-18,06:14,47,41,40,22,18,0,0,-12,C,4,2020-12-06,7kzoKUweUtcgZCyCruojmF,"Glue Trip",8B,US7VG1620689
47,"Melting","Kali Uchis",78,115,"","","Por Vida",2015-02-04,03:28,57,48,18,8,30,0,10,-8,G#/A♭,4,2020-12-06,2kSb3wYSOV996xA2NSmpck,"Kali Uchis LLC",4B,QM8DG1400266
48,"Nightcall","Kavinsky",75,91,"synthwave, french house","Electronic","Nightcall",2010-00-00,04:18,53,87,1,1,36,0,40,-5,A minor,4,2020-12-09,0U0ldCRmgCqhVvD6ksG63j,"Universal Music Division Virgin Music",8A,FRS710900410
49,"Chamber Of Reflection","Mac DeMarco",1,131,"indie, lo-fi indie","Pop, Rock, Electronic","Salad Days",2014-04-01,03:51,54,56,26,91,51,0,10,-9,B,4,2020-12-09,1MJ5f5EYBC92ADD6xcz7nb,"Captured Tracks",1B,QMMZN1300568
50,"Instant Crush (feat. Julian Casablancas)","Daft Punk, Julian Casablancas",80,110,"french house, electronic, electro","Electronic","Random Access Memories",2013-05-20,05:37,78,59,4,62,52,0,0,-10,A#/B♭ minor,4,2020-12-27,2cGxRwrMyEAp8dEbuZaVv6,"Columbia",3A,USQX91300105
51,"Why You","Sway Bleu",45,94,"","","Why You",2019-12-29,02:30,45,53,53,0,20,10,10,-11,C♯/D♭ minor,4,2020-12-29,6KQ1kXpm6fNi5covVSMvz1,"1152527 Records DK2",12A,QZK6P1991045
52,"help herself","bbno$, Diamond Pistols",62,168,"","","help herself",2021-01-29,03:08,61,85,62,35,48,0,10,-8,E minor,4,2021-02-07,4YMc3A256xFBS0xcT77Qce,"n/a",9A,QM24S2100146
53,"Manila Ice","Eyedress",0,115,"","","Manila Ice",2017-05-12,02:23,67,40,69,25,54,0,0,-10,C♯/D♭ minor,4,2021-02-23,2Gbt1I2cyf2Njj0xCd2drK,"Lex Records",12A,GBMYF1600069
54,"Some Feeling","Mild Orange",0,129,"","","Foreplay",2018-04-18,03:17,74,51,45,0,58,0,10,-8,A minor,4,2021-02-24,5txzKcySsIIIrsciNliAoL,"Mild Orange",8A,NZAM01800538
55,"Mysight","Mild Orange",0,132,"","","Foreplay",2018-04-18,04:19,61,56,7,0,24,0,10,-7,C♯/D♭ minor,4,2021-02-24,5AJXucnDEp4GizQwDWW8m6,"Mild Orange",12A,NZAM01800656
56,"Freak In Me","Mild Orange",0,114,"","","Mild Orange",2020-05-29,03:46,65,76,38,1,54,0,10,-6,C,4,2021-02-24,0lSVBaY7snTII4ottyo3xA,"Mild Orange/Rosham Beau Recordings",8B,GBKPL2086546
57,"Halcyon Age","Vansire",0,93,"bedroom pop","Pop","Angel Youth",2018-04-26,03:13,63,48,33,15,68,0,10,-10,B minor,4,2021-03-20,1jQ19CIEPxKkixOhBh7KNf,"Spirit Goth Records",10A,QZANL1715978
58,"First Aid","Gus Dapperton",0,140,"bedroom pop","Pop","Orca",2020-09-18,04:28,62,48,1,0,36,0,0,-4,A#/B♭ minor,4,2021-07-19,3y2Dktpll4t3zPlgpCnUCy,"Gus Dapperton",3A,GBKPL2093842
